epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,228.057,0.72123,0.36935,1.09126,0.99889,1,0.995,0.75932,0.92573,0.30733,1.06311,0.000280723,0.000280723,0.000280723
86,230.901,0.69515,0.3566,1.06524,0.99885,1,0.995,0.76089,0.92072,0.306,1.06629,0.00026422,0.00026422,0.00026422
87,233.787,0.70666,0.37174,1.08998,0.99878,1,0.995,0.77178,0.92188,0.30045,1.05784,0.000247716,0.000247716,0.000247716
88,236.593,0.68061,0.35315,1.06454,0.99875,1,0.995,0.76082,0.92734,0.30128,1.05605,0.000231213,0.000231213,0.000231213
89,239.378,0.694,0.35859,1.08615,0.99886,1,0.995,0.75379,0.934,0.30619,1.06508,0.00021471,0.00021471,0.00021471
90,242.26,0.67526,0.36315,1.06965,0.9988,1,0.995,0.75091,0.92198,0.30045,1.05762,0.000198206,0.000198206,0.000198206
91,245.583,0.63907,0.29154,1.04241,0.99876,1,0.995,0.75358,0.9511,0.31105,1.08644,0.000181703,0.000181703,0.000181703
92,248.488,0.62936,0.28337,1.04989,0.99881,1,0.995,0.75138,0.93676,0.30621,1.07197,0.0001652,0.0001652,0.0001652
93,251.456,0.61058,0.27447,1.02474,0.99888,1,0.995,0.75493,0.94349,0.31037,1.0849,0.000148696,0.000148696,0.000148696
94,254.261,0.61938,0.2786,1.01604,0.99878,1,0.995,0.75332,0.93866,0.31525,1.07458,0.000132193,0.000132193,0.000132193
95,257.228,0.61862,0.28144,1.02888,0.99873,1,0.995,0.76005,0.92962,0.31276,1.06951,0.00011569,0.00011569,0.00011569
96,260.076,0.60927,0.27512,1.02737,0.99876,1,0.995,0.76085,0.91027,0.3119,1.05828,9.91865e-05,9.91865e-05,9.91865e-05
97,262.852,0.60687,0.27079,1.01244,0.99879,1,0.995,0.76366,0.91776,0.30853,1.06757,8.26832e-05,8.26832e-05,8.26832e-05
98,265.762,0.60189,0.27006,1.02631,0.9988,1,0.995,0.75796,0.92297,0.30682,1.0707,6.61799e-05,6.61799e-05,6.61799e-05
99,268.609,0.58519,0.26963,1.02054,0.99881,1,0.995,0.76202,0.92285,0.30547,1.06035,4.96766e-05,4.96766e-05,4.96766e-05
100,271.463,0.59521,0.26934,1.02364,0.9988,1,0.995,0.7638,0.91935,0.30273,1.05751,3.31733e-05,3.31733e-05,3.31733e-05
